# Training Log for model: ResNet18-SGD_lr0.0005_bs32
# Time: 2025-05-28 21:42:55.220144
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0005
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.7519,0.9135,1.0481,0.000500
2,0.9177,0.9517,0.3393,0.000500
3,0.9551,0.9660,0.2105,0.000500
4,0.9730,0.9712,0.1487,0.000500
5,0.9821,0.9748,0.1149,0.000500
6,0.9882,0.9766,0.0964,0.000500
7,0.9906,0.9783,0.0885,0.000500
8,0.9922,0.9766,0.0826,0.000500
9,0.9932,0.9738,0.0829,0.000500
10,0.9927,0.9754,0.0859,0.000500
11,0.9938,0.9772,0.0864,0.000500
12,0.9907,0.9446,0.1031,0.000500
13,0.9894,0.9537,0.1107,0.000500
14,0.9863,0.9600,0.1279,0.000500
15,0.9813,0.9313,0.1497,0.000500
16,0.9804,0.9099,0.1560,0.000500
17,0.9798,0.9294,0.1628,0.000500
18,0.9760,0.9156,0.1793,0.000500
19,0.9716,0.8839,0.1964,0.000500
20,0.9719,0.8862,0.1973,0.000500
21,0.9724,0.9261,0.1999,0.000500
22,0.9693,0.8270,0.2085,0.000500
23,0.9693,0.9217,0.2118,0.000500
24,0.9717,0.8887,0.2011,0.000500
25,0.9690,0.8450,0.2080,0.000500
[TEST] Final Test Accuracy: 0.8520
