# Training Log for model: ResNet18-SGD_lr0.001_bs32
# Time: 2025-05-29 02:04:06.518258
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.001
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8164,0.9416,0.7467,0.001000
2,0.9480,0.9312,0.2265,0.001000
3,0.9698,0.9462,0.1549,0.001000
4,0.9780,0.9657,0.1330,0.001000
5,0.9770,0.9138,0.1406,0.001000
6,0.9695,0.9309,0.1772,0.001000
7,0.9580,0.9264,0.2269,0.001000
8,0.9534,0.8540,0.2511,0.001000
9,0.9417,0.8658,0.2981,0.001000
10,0.9389,0.8585,0.3148,0.001000
11,0.9397,0.8599,0.3161,0.001000
12,0.9388,0.7792,0.3218,0.001000
13,0.9401,0.8063,0.3210,0.001000
14,0.9414,0.8499,0.3149,0.001000
15,0.9401,0.7922,0.3188,0.001000
16,0.9453,0.8223,0.3012,0.001000
17,0.9459,0.8547,0.3013,0.001000
18,0.9461,0.7824,0.2913,0.001000
19,0.9505,0.8502,0.2818,0.001000
20,0.9487,0.8174,0.2853,0.001000
21,0.9502,0.8424,0.2778,0.001000
22,0.9507,0.8418,0.2779,0.001000
23,0.9542,0.8431,0.2604,0.001000
24,0.9527,0.8372,0.2664,0.001000
25,0.9512,0.7740,0.2697,0.001000
[TEST] Final Test Accuracy: 0.7761
