# Training Log for model: ResNet18-SGD_lr0.0001_bs64
# Time: 2025-05-28 18:26:06.102294
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0001
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.3472,0.6208,2.8846,0.000100
2,0.6964,0.7548,1.5427,0.000100
3,0.7769,0.8034,1.0415,0.000100
4,0.8163,0.8343,0.8081,0.000100
5,0.8437,0.8590,0.6686,0.000100
6,0.8649,0.8748,0.5758,0.000100
7,0.8811,0.8883,0.5040,0.000100
8,0.8958,0.9025,0.4471,0.000100
9,0.9059,0.9136,0.4039,0.000100
10,0.9154,0.9174,0.3660,0.000100
11,0.9233,0.9273,0.3357,0.000100
12,0.9307,0.9329,0.3071,0.000100
13,0.9359,0.9392,0.2847,0.000100
14,0.9442,0.9417,0.2613,0.000100
15,0.9477,0.9448,0.2441,0.000100
16,0.9534,0.9499,0.2270,0.000100
17,0.9579,0.9528,0.2105,0.000100
18,0.9606,0.9543,0.1973,0.000100
19,0.9647,0.9566,0.1859,0.000100
20,0.9670,0.9591,0.1749,0.000100
21,0.9707,0.9622,0.1625,0.000100
22,0.9734,0.9616,0.1548,0.000100
23,0.9747,0.9657,0.1467,0.000100
24,0.9770,0.9662,0.1380,0.000100
25,0.9798,0.9663,0.1301,0.000100
[TEST] Final Test Accuracy: 0.9695
